match_date,team_1,team_2,t1_points,t2_points,team_1_elo,team_2_elo
2016-03-08,ASTRALIS,MOUSESPORTS,16,12,1605.4955602020111,1490.196756158808
2016-03-08,MOUSESPORTS,ASTRALIS,4,16,1479.3197650796237,1616.3725512811955
2016-03-09,VIRTUS.PRO,NIP,2,16,1418.0328297850579,1484.746200708549
2016-03-09,NIP,VIRTUS.PRO,16,11,1497.711146240485,1405.0678842531217
2016-03-09,G2,ENVY,16,11,1459.3767768148027,1464.8793379880299
2016-03-09,ENVY,G2,12,16,1448.6259568663381,1475.6301579364945
2016-03-10,ENVY,FLIPSID3,16,9,1464.8268194782331,1436.786999608908
2016-03-10,FLIPSID3,ENVY,7,16,1422.0754848125648,1479.5383342745763
2016-03-10,NAVI,FAZE,19,17,1575.1912412101242,1467.3479483192646
2016-03-10,FAZE,NAVI,12,16,1456.1607336361433,1586.3784558932455
2016-03-12,G2,VIRTUS.PRO,16,6,1488.4245980909225,1392.2734440986937
2016-03-12,ASTRALIS,ENVY,7,16,1594.377889049116,1501.5329965066558
2016-03-12,ENVY,ASTRALIS,10,16,1489.7097103081453,1606.2011752476265
2016-03-12,VIRTUS.PRO,G2,16,14,1412.5916854400014,1468.1063567496149
2016-03-13,G2,FLIPSID3,16,12,1481.9988731957692,1408.1829683664105
2016-03-13,FLIPSID3,G2,7,16,1395.5320756895412,1494.6497658726385
2016-03-13,FNATIC,MOUSESPORTS,16,4,1712.544972224002,1472.483706264022
2016-03-13,MOUSESPORTS,FNATIC,19,17,1498.0611966245795,1686.9674818634446
2016-03-14,MOUSESPORTS,G2,2,1,1513.90409948125,1478.806863015968
2016-03-15,NAVI,DIGNITAS,16,14,1596.5587484201071,1443.7626967922133
2016-03-15,DIGNITAS,NAVI,3,16,1434.3781215618096,1605.9433236505108
2016-03-16,RENEGADES,CLOUD9,8,16,1482.236342941891,1526.484187322335
2016-03-16,CLOUD9,RENEGADES,19,16,1540.4574444940372,1468.2630857701888
2016-03-16,FNATIC,NIP,6,16,1663.0225992433059,1521.6560288606238
2016-03-16,DIGNITAS,G2,16,10,1452.4130607967081,1460.7719237810695
2016-03-16,NIP,FNATIC,10,16,1511.8292315073238,1672.8493965966059
2016-03-16,G2,DIGNITAS,16,6,1476.3870581685233,1436.7979264092544
2016-03-17,NAVI,FLIPSID3,2,1,1613.286826376767,1388.188572963285
2016-03-17,G2,FAZE,16,13,1491.4566523458186,1441.091139458848
2016-03-17,FAZE,G2,10,16,1427.3944453688496,1505.153346435817
2016-03-17,RENEGADES,LIQUID,16,11,1487.0067948850942,1509.6927808456376
2016-03-18,LIQUID,RENEGADES,16,7,1524.649534790612,1472.0500409401197
2016-03-18,CLOUD9,LUMINOSITY,16,13,1556.9088875680377,1533.8115658296113
2016-03-18,LUMINOSITY,CLOUD9,16,7,1550.8736725991405,1539.8467807985085
2016-03-18,VIRTUS.PRO,NAVI,0,2,1404.9269358998845,1620.951575916884
2016-03-18,NAVI,ASTRALIS,2,1,1636.2727026883638,1590.8800484761466
2016-03-18,TEMPO STORM,RENEGADES,2,0,1530.5635534450012,1458.090660981074
2016-03-19,LUMINOSITY,CLG,16,12,1563.3745221271072,1461.1423578518213
2016-03-19,CLOUD9,OPTIC,2,0,1554.0197721693794,1485.827008629129
2016-03-19,CLG,LUMINOSITY,9,16,1449.7189947194306,1574.797885259498
2016-03-19,MOUSESPORTS,FAZE,16,14,1526.000523048239,1415.2980218018604
2016-03-19,DIGNITAS,FNATIC,5,16,1430.2561053652685,1679.3912176405918
2016-03-19,FNATIC,DIGNITAS,16,6,1685.5497748145829,1424.0975481912774
2016-03-19,FAZE,MOUSESPORTS,13,16,1404.2302664804247,1537.0682783696748
2016-03-19,CLG,TEMPO STORM,2,1,1469.376254641096,1510.9062935233358
2016-03-20,LIQUID,CLG,22,19,1538.1253654001082,1455.9004240315999
2016-03-20,DIGNITAS,ASTRALIS,5,16,1415.237940865144,1599.73965580228
2016-03-20,CLG,LIQUID,5,16,1443.6178765751397,1550.4079128565684
2016-03-20,CLG,LIQUID,1,2,1432.3865061729773,1561.6392832587308
2016-03-20,MOUSESPORTS,FLIPSID3,12,16,1514.6030697075578,1410.653781625402
2016-03-20,ASTRALIS,DIGNITAS,16,11,1607.960861895993,1407.016734771431
2016-03-20,FLIPSID3,MOUSESPORTS,16,13,1431.3029219392195,1493.9539293937403
2016-03-20,NAVI,ENVY,16,7,1645.8970026529196,1480.0854103435895
2016-03-21,CLOUD9,LIQUID,2,1,1570.37060737872,1545.2884480493901
2016-03-21,SK,FLIPSID3,0,2,1445.6432486686742,1448.7633236021345
2016-03-22,SK,FLIPSID3,10,16,1429.7869295668936,1464.6196427039151
2016-03-22,FLIPSID3,SK,13,16,1447.0208899586405,1447.3856823121682
2016-03-22,MOUSESPORTS,DIGNITAS,16,19,1474.0318415076244,1426.9388226575468
2016-03-22,DIGNITAS,MOUSESPORTS,16,10,1445.0943517573319,1455.8763124078394
2016-03-23,ASTRALIS,NIP,8,16,1587.6434541718145,1532.1466392315024
2016-03-23,NIP,ASTRALIS,16,4,1550.6808455542669,1569.10924784905
2016-03-23,FLIPSID3,FNATIC,13,16,1440.5529777441222,1692.0176870291011
2016-03-23,TEMPO STORM,CLG,0,2,1491.3506535081858,1451.9421461881273
2016-03-23,FNATIC,FLIPSID3,16,14,1698.1098258172697,1434.4608389559537
2016-03-25,E-FRAG.NET,DIGNITAS,2,1,1443.7139174151594,1428.2561192994174
2016-03-29,FAZE,LIQUID,11,16,1394.3913772589644,1555.1273372708504
2016-03-29,ENVY,CLG,8,16,1462.7921923619085,1469.2353641698082
2016-03-29,NAVI,CLOUD9,16,9,1658.4726537936383,1557.7949562380013
2016-03-29,VIRTUS.PRO,G2,16,1,1425.4186225250999,1484.6616598106016
2016-03-29,LUMINOSITY,MOUSESPORTS,16,13,1585.5256492512087,1445.1485484161285
2016-03-30,FLIPSID3,MOUSESPORTS,28,31,1418.9528709749843,1460.656516397098
2016-03-30,CLOUD9,G2,3,16,1538.475919199232,1503.9806968493708
2016-03-30,NIP,LUMINOSITY,5,16,1536.2801495292542,1599.9263452762214
2016-03-30,LIQUID,FNATIC,22,19,1577.363764177304,1675.8733989108161
2016-03-30,CLG,ASTRALIS,9,16,1457.7120915082603,1580.632520510598
2016-03-30,NAVI,VIRTUS.PRO,16,4,1665.1047340960145,1418.7865422227237
2016-03-31,FAZE,FNATIC,0,2,1389.1063251134015,1681.1584510563791
2016-03-31,MOUSESPORTS,NIP,1,2,1448.085137854336,1548.8515280720162
2016-04-01,NAVI,NIP,2,0,1675.9423140624413,1538.0139481055894
2016-04-01,ASTRALIS,FNATIC,2,0,1601.136910412139,1660.654061154838
2016-04-01,LIQUID,CLG,2,0,1588.061577325776,1447.0142783597882
2016-04-01,G2,VIRTUS.PRO,1,2,1484.1341478463712,1438.6330912257233
2016-04-02,LUMINOSITY,VIRTUS.PRO,2,1,1608.9898164534557,1429.569620048489
2016-04-02,NAVI,ASTRALIS,2,0,1688.5496612567863,1588.529563217794
2016-04-02,LIQUID,LUMINOSITY,0,2,1573.024194378477,1624.0271994007546
2016-04-03,NAVI,LUMINOSITY,0,2,1669.611986601268,1642.964874056273
2016-04-06,AGG,HELLRAISERS,0,2,1482.6086416015962,1487.101890186998
